LOCN_NBR,STORE_NAME,BIS_NM,ADR,ADDRESS,CTY,CITY,STE,ZIP,PHN,FAX,COM_PHN,HRS,LAT,LNG,DIRE,CD,LOGO,CST_SEV,CNTY,mon_opn,mon_cse,tue_opn,tue_cse,wed_opn,wed_cse,thu_opn,thu_cse,fri_opn,fri_cse,sat_opn,sat_cse,sun_opn,sun_cse,TIME_ZONE,showProductAisleNumber,showProductBayNumber,showMetaProducts,showStoreMapView,showInStockPageView,showProductLocations,leadCaptureEnabled,,,,,,,,,,,,,,,,,,,,,
82,Lufkin Lowe's,"LOWE'S OF LUFKIN, TX",3501 SOUTH MEDFORD,3501 South Medford,LUFKIN,Lufkin,TX,75901,(936) 632-8333,(936) 632-8387,(936) 633-1919,,31.31395048,-94.7108941,,N,,,US,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,06.00.00,21.00.00,08.00.00,19.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
86,Virginia Beach Lowe's,"LOWE'S OF VIRGINIA BEACH, VA",3565 HOLLAND ROAD,3565 Holland Rd,VIRGINIA BEACH,Virginia Beach,VA,23452,(757) 631-2100,(757) 631-0197,(757) 448-6521,,36.81092949,-76.09680463,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
88,Adrian Lowe's,"LOWE'S OF ADRIAN, MI",1369 DIVISION STREET,1369 Division St,ADRIAN,Adrian,MI,49221,(517) 266-1000,(517) 266-1302,(517) 266-4639,,41.87609838,-84.03135875,,N,,,US,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,07.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
89,Beavercreek Lowe's,"LOWE'S OF BEAVERCREEK, OH",2850-I CENTRE DRIVE,2850-I Centre Dr,FAIRBORN,Fairborn,OH,45324,(937) 427-1110,(937) 427-6433,(937) 306-3019,,39.77373712,-84.04783954,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/New_York,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
90,San Angelo Lowe's,"LOWE'S OF SAN ANGELO, TX",5301 SHERWOOD WAY,5301 Sherwood Way,SAN ANGELO,San Angelo,TX,76904,(325) 942-3100,(325) 944-8588,(325) 315-9093,,31.42794176,-100.5074125,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
91,Corinth Lowe's,"LOWE'S OF CORINTH, MS",1800 SOUTH PARKWAY,1800 South Pkwy,CORINTH,Corinth,MS,38834,(662) 287-9000,(662) 655-9337,(622) 603-0021,,34.91449932,-88.50733723,,N,,,US,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,07.00.00,21.00.00,09.00.00,19.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
92,Galesburg Lowe's,"LOWE'S OF GALESBURG, IL",531 WEST CARL SANDBURG DRIVE,531 West Carl Sandburg Dr,GALESBURG,Galesburg,IL,61401,(309) 342-4488,(309) 342-4586,(309) 345-2025,,40.97671155,-90.37863274,,N,,,US,06.30.00,21.00.00,06.30.00,21.00.00,06.30.00,21.00.00,06.30.00,21.00.00,06.30.00,21.00.00,06.30.00,21.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
95,Beaumont Lowe's,"LOWE'S OF BEAUMONT, TX",4120 DOWLEN ROAD,4120 Dowlen Rd,BEAUMONT,Beaumont,TX,77706,(409) 898-2200,(409) 898-4944,(409) 898-6428,,30.1190383,-94.16478977,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
97,Baytown Lowe's,"LOWE'S OF BAYTOWN, TX",5002 GARTH ROAD,5002 Garth Rd,BAYTOWN,Baytown,TX,77521,(281) 421-1055,(281) 421-3174,(281) 421-3189,,29.77951171,-94.97614646,,N,,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
98,Katy Lowe's,"LOWE'S OF KATY, TX",19935 KATY FREEWAY,19935 Katy Freeway,HOUSTON,Houston,TX,77094,(281) 492-7980,(281) 492-6207,(281) 492-3210,,29.78331476,-95.71389353,,N,http://images.lowes.com/general/n/NRdiamond.gif,,US,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,06.00.00,22.00.00,08.00.00,20.00.00,America/Chicago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
